.1.3.6.1.4.1.2636.1.1.3.2.9.1	jnxM320FPC
.1.3.6.1.4.1.2636.1.1.1.3.17	jnxProductModelTX
.1.3.6.1.4.1.2636.1.1.3.2.9.8	jnxM320CIP
.1.3.6.1.4.1.2636.1.1.1.3.16	jnxProductModelIRM
.1.3.6.1.4.1.2636.1.1.3.2.9.7	jnxM320FPB
.1.3.6.1.4.1.2636.1.1.3.2.9.6	jnxM320CB
.1.3.6.1.4.1.2636.1.1.3.2.9.5	jnxM320Fan
.1.3.6.1.4.1.2636.1.1.3.2.9.4	jnxM320Power
.1.3.6.1.4.1.2636.1.1.3.2.9.3	jnxM320HM
.1.3.6.1.4.1.2636.1.1.3.2.12.3.3	jnxRCompactFlash
.1.3.6.1.4.1.2636.1.1.3.2.12.3.2	jnxUSBHub
.1.3.6.1.4.1.2636.1.1.1.4.8	jnxProductVariationM40e
.1.3.6.1.4.1.2636.1.1.1.4.9	jnxProductVariationM320
.1.3.6.1.4.1.2636.1.1.1.4.6	jnxProductVariationT640
.1.3.6.1.4.1.2636.1.1.1.4.7	jnxProductVariationT320
.1.3.6.1.4.1.2636.1.1.1.4.5	jnxProductVariationM5
.1.3.6.1.4.1.2636.1.1.1.4.4	jnxProductVariationM10
.1.3.6.1.4.1.2636.1.1.1.4.3	jnxProductVariationM160
.1.3.6.1.4.1.2636.1.1.1.4.2	jnxProductVariationM20
.1.3.6.1.4.1.2636.1.1.1.4.1	jnxProductVariationM40
.1.3.6.1.4.1.2636.1.1.3.2.12.3.1	jnxPCMCIACard
.1.3.6.1.4.1.2636.1.1.1.2.8	jnxProductNameM40e
.1.3.6.1.4.1.2636.1.1.1.2.9	jnxProductNameM320
.1.3.6.1.4.1.2636.1.1.2.3.5.1	jnxM5MediaCardSpacePIC
.1.3.6.1.4.1.2636.1.1.1.2.5	jnxProductNameM5
.1.3.6.1.4.1.2636.1.1.1.2.4	jnxProductNameM10
.1.3.6.1.4.1.2636.1.1.1.2.7	jnxProductNameT320
.1.3.6.1.4.1.2636.1.1.1.2.6	jnxProductNameT640
.1.3.6.1.4.1.2636.1.1.1.2.1	jnxProductNameM40
.1.3.6.1.4.1.2636.1.1.1.2.3	jnxProductNameM160
.1.3.6.1.4.1.2636.1.1.1.2.2	jnxProductNameM20
.1.3.6.1.4.1.2636.1.1.1.1.13	jnxProductLineJ2300
.1.3.6.1.4.1.2636.1.1.3.3.8.6.4	jnxM40eQuadSonetOc12
.1.3.6.1.4.1.2636.1.1.3.3.8.6.3	jnxM40eDualGigEther
.1.3.6.1.4.1.2636.1.1.3.3.8.6.6	jnxM40eDenseEther48
.1.3.6.1.4.1.2636.1.1.1.1.11	jnxProductLineM10i
.1.3.6.1.4.1.2636.1.1.3.3.8.6.5	jnxM40eSonetOc48Lr
.1.3.6.1.4.1.2636.1.1.1.1.10	jnxProductLineM7i
.1.3.6.1.4.1.2636.1.1.1.1.17	jnxProductLineTX
.1.3.6.1.4.1.2636.1.1.3.3.8.6.7	jnxM40eQuadGigEther
.1.3.6.1.4.1.2636.1.1.1.1.16	jnxProductLineIRM
.1.3.6.1.4.1.2636.1.1.1.1.15	jnxProductLineJ6300
.1.3.6.1.4.1.2636.1.1.3.3.8.6.9	jnxM40eCrypto800
.1.3.6.1.4.1.2636.1.1.1.1.14	jnxProductLineJ4300
.1.3.6.1.4.1.2636.1.1.3.3.4.1.11	jnxM10QuadE1
