.1.3.6.1.4.1.9.1.53	ciscoPro1005
.1.3.6.1.4.1.9.1.52	ciscoPro1004
.1.3.6.1.4.1.9.1.51	ciscoPro1003
.1.3.6.1.4.1.9.1.58	ciscoPro2505
.1.3.6.1.4.1.9.1.57	ciscoPro2503
.1.3.6.1.4.1.9.1.56	ciscoPro2501
.1.3.6.1.4.1.9.1.55	ciscoPro2500PCE
.1.3.6.1.4.1.9.1.499	cisco836
.1.3.6.1.4.1.9.1.50	cisco4700
.1.3.6.1.4.1.9.1.49	cisco1005
.1.3.6.1.4.1.9.1.48	cisco7505
.1.3.6.1.4.1.9.1.490	ciscoCE508
.1.3.6.1.4.1.9.1.41	cisco1003
.1.3.6.1.4.1.9.1.493	ciscoONS15454
.1.3.6.1.4.1.9.1.494	ciscoONS15327
.1.3.6.1.4.1.9.1.40	cisco1000
.1.3.6.1.4.1.9.1.43	cisco1020
.1.3.6.1.4.1.9.1.491	ciscoCE565
.1.3.6.1.4.1.9.1.492	ciscoCE7325
.1.3.6.1.4.1.9.1.42	cisco2516
.1.3.6.1.4.1.9.1.497	cisco831
.1.3.6.1.4.1.9.1.45	cisco7507
.1.3.6.1.4.1.9.1.44	cisco1004
.1.3.6.1.4.1.9.1.498	ciscoSOHO91
.1.3.6.1.4.1.9.1.47	cisco7506
.1.3.6.1.4.1.9.1.495	cisco837
.1.3.6.1.4.1.9.1.496	ciscoSOHO97
.1.3.6.1.4.1.9.1.46	cisco7513
.1.3.6.1.4.1.9.1.39	ciscoAccessProEC
.1.3.6.1.4.1.9.1.38	ciscoAccessProRC
.1.3.6.1.4.1.9.1.37	cisco3204
.1.3.6.1.4.1.9.1.36	cisco3202
.1.3.6.1.4.1.9.1.35	cisco3104
.1.3.6.1.4.1.9.1.34	cisco3103
.1.3.6.1.4.1.9.1.33	cisco3102
